HITId,HITTypeId,Title,Description,Keywords,Reward,CreationTime,MaxAssignments,RequesterAnnotation,AssignmentDurationInSeconds,AutoApprovalDelayInSeconds,Expiration,NumberOfSimilarHITs,LifetimeInSeconds,AssignmentId,WorkerId,AssignmentStatus,AcceptTime,SubmitTime,AutoApprovalTime,ApprovalTime,RejectionTime,RequesterFeedback,WorkTimeInSeconds,LifetimeApprovalRate,Last30DaysApprovalRate,Last7DaysApprovalRate,Input.ground_url,Input.audio_url,Answer.experiment3-identify-speaker.label,Approve,Reject
38VTL6WC5DLX6UWKCO5HBR9LIBZY5L,3J6XXRWLEOZFP55RL5RN5S07NQ6PFP,Do the two audio samples belong to the same person?,Listen the audio pairs and tell whether they are uttered by the same person?,"audio, voice, speaker, utterence,person",$0.01,Sat Oct 08 03:12:05 PDT 2022,10,BatchId:4895177;OriginalHitTemplateId:928390811;,600,432000,Mon Nov 07 02:12:05 PST 2022,,,3UNH76FOCWDY1LFKUPR5HDG0IX2YME,A10RSG4FW6BHCC,Submitted,Sat Oct 08 03:12:49 PDT 2022,Sat Oct 08 03:15:14 PDT 2022,Thu Oct 13 03:15:14 PDT 2022,,,,145,0% (0/0),0% (0/0),0% (0/0),https://golferchen.github.io/human-study-usenix/clean/text=2/zhezhao/zhezhao-2-4.wav,https://golferchen.github.io/human-study-usenix/white-box/text=2/tanhuiyu/zhezhao-2-4.wav,Same - The two audio samples are uttered by the same person,x,
38VTL6WC5DLX6UWKCO5HBR9LIBZY5L,3J6XXRWLEOZFP55RL5RN5S07NQ6PFP,Do the two audio samples belong to the same person?,Listen the audio pairs and tell whether they are uttered by the same person?,"audio, voice, speaker, utterence,person",$0.01,Sat Oct 08 03:12:05 PDT 2022,10,BatchId:4895177;OriginalHitTemplateId:928390811;,600,432000,Mon Nov 07 02:12:05 PST 2022,,,32UTUBMZ7K4LE0GIYPECWY1COHWBVT,A1P3AU41YZVY4G,Submitted,Sat Oct 08 03:12:26 PDT 2022,Sat Oct 08 03:13:19 PDT 2022,Thu Oct 13 03:13:19 PDT 2022,,,,53,0% (0/0),0% (0/0),0% (0/0),https://golferchen.github.io/human-study-usenix/clean/text=2/zhezhao/zhezhao-2-4.wav,https://golferchen.github.io/human-study-usenix/white-box/text=2/tanhuiyu/zhezhao-2-4.wav,Same - The two audio samples are uttered by the same person,x,
38VTL6WC5DLX6UWKCO5HBR9LIBZY5L,3J6XXRWLEOZFP55RL5RN5S07NQ6PFP,Do the two audio samples belong to the same person?,Listen the audio pairs and tell whether they are uttered by the same person?,"audio, voice, speaker, utterence,person",$0.01,Sat Oct 08 03:12:05 PDT 2022,10,BatchId:4895177;OriginalHitTemplateId:928390811;,600,432000,Mon Nov 07 02:12:05 PST 2022,,,3ZOTGHDK5MJP52ON8ZETRVH4WCLSO9,A27LX2664E6W8R,Submitted,Sat Oct 08 03:13:58 PDT 2022,Sat Oct 08 03:16:05 PDT 2022,Thu Oct 13 03:16:05 PDT 2022,,,,127,0% (0/0),0% (0/0),0% (0/0),https://golferchen.github.io/human-study-usenix/clean/text=2/zhezhao/zhezhao-2-4.wav,https://golferchen.github.io/human-study-usenix/white-box/text=2/tanhuiyu/zhezhao-2-4.wav,Same - The two audio samples are uttered by the same person,x,
38VTL6WC5DLX6UWKCO5HBR9LIBZY5L,3J6XXRWLEOZFP55RL5RN5S07NQ6PFP,Do the two audio samples belong to the same person?,Listen the audio pairs and tell whether they are uttered by the same person?,"audio, voice, speaker, utterence,person",$0.01,Sat Oct 08 03:12:05 PDT 2022,10,BatchId:4895177;OriginalHitTemplateId:928390811;,600,432000,Mon Nov 07 02:12:05 PST 2022,,,36W0OB37H0MCEXOEZEDB3FH6757ZHX,A3OK13TYU0OUUQ,Submitted,Sat Oct 08 03:13:19 PDT 2022,Sat Oct 08 03:13:34 PDT 2022,Thu Oct 13 03:13:34 PDT 2022,,,,15,0% (0/0),0% (0/0),0% (0/0),https://golferchen.github.io/human-study-usenix/clean/text=2/zhezhao/zhezhao-2-4.wav,https://golferchen.github.io/human-study-usenix/white-box/text=2/tanhuiyu/zhezhao-2-4.wav,Same - The two audio samples are uttered by the same person,x,
38VTL6WC5DLX6UWKCO5HBR9LIBZY5L,3J6XXRWLEOZFP55RL5RN5S07NQ6PFP,Do the two audio samples belong to the same person?,Listen the audio pairs and tell whether they are uttered by the same person?,"audio, voice, speaker, utterence,person",$0.01,Sat Oct 08 03:12:05 PDT 2022,10,BatchId:4895177;OriginalHitTemplateId:928390811;,600,432000,Mon Nov 07 02:12:05 PST 2022,,,3NGI5ARFTXD7WI1UAGCOKUZLGH4P13,A3VEOIMKPGBIOO,Submitted,Sat Oct 08 03:12:38 PDT 2022,Sat Oct 08 03:14:23 PDT 2022,Thu Oct 13 03:14:23 PDT 2022,,,,105,0% (0/0),0% (0/0),0% (0/0),https://golferchen.github.io/human-study-usenix/clean/text=2/zhezhao/zhezhao-2-4.wav,https://golferchen.github.io/human-study-usenix/white-box/text=2/tanhuiyu/zhezhao-2-4.wav,Same - The two audio samples are uttered by the same person,x,
38VTL6WC5DLX6UWKCO5HBR9LIBZY5L,3J6XXRWLEOZFP55RL5RN5S07NQ6PFP,Do the two audio samples belong to the same person?,Listen the audio pairs and tell whether they are uttered by the same person?,"audio, voice, speaker, utterence,person",$0.01,Sat Oct 08 03:12:05 PDT 2022,10,BatchId:4895177;OriginalHitTemplateId:928390811;,600,432000,Mon Nov 07 02:12:05 PST 2022,,,3907X2AHF4DEL3JQTKC2PD9Q8NJ2PY,AL6P82UYPC6LW,Submitted,Sat Oct 08 03:14:02 PDT 2022,Sat Oct 08 03:14:10 PDT 2022,Thu Oct 13 03:14:10 PDT 2022,,,,8,0% (0/0),0% (0/0),0% (0/0),https://golferchen.github.io/human-study-usenix/clean/text=2/zhezhao/zhezhao-2-4.wav,https://golferchen.github.io/human-study-usenix/white-box/text=2/tanhuiyu/zhezhao-2-4.wav,Same - The two audio samples are uttered by the same person,x,
38VTL6WC5DLX6UWKCO5HBR9LIBZY5L,3J6XXRWLEOZFP55RL5RN5S07NQ6PFP,Do the two audio samples belong to the same person?,Listen the audio pairs and tell whether they are uttered by the same person?,"audio, voice, speaker, utterence,person",$0.01,Sat Oct 08 03:12:05 PDT 2022,10,BatchId:4895177;OriginalHitTemplateId:928390811;,600,432000,Mon Nov 07 02:12:05 PST 2022,,,3KRVW3HTZRT15Z3BVJZGZRSZ1C6SMU,ANPZSKISBNFQ5,Submitted,Sat Oct 08 03:13:55 PDT 2022,Sat Oct 08 03:14:52 PDT 2022,Thu Oct 13 03:14:52 PDT 2022,,,,57,0% (0/0),0% (0/0),0% (0/0),https://golferchen.github.io/human-study-usenix/clean/text=2/zhezhao/zhezhao-2-4.wav,https://golferchen.github.io/human-study-usenix/white-box/text=2/tanhuiyu/zhezhao-2-4.wav,Same - The two audio samples are uttered by the same person,x,
34YWR3PJ3BI9BIK9AMD3BI6LZXV0XX,3J6XXRWLEOZFP55RL5RN5S07NQ6PFP,Do the two audio samples belong to the same person?,Listen the audio pairs and tell whether they are uttered by the same person?,"audio, voice, speaker, utterence,person",$0.01,Sat Oct 08 03:12:05 PDT 2022,10,BatchId:4895177;OriginalHitTemplateId:928390811;,600,432000,Mon Nov 07 02:12:05 PST 2022,,,32EYX73OY4H8HS87PWQX0R4XSWQUR0,A1DGGXKHU126F7,Submitted,Sat Oct 08 03:13:11 PDT 2022,Sat Oct 08 03:14:50 PDT 2022,Thu Oct 13 03:14:50 PDT 2022,,,,99,0% (0/0),0% (0/0),0% (0/0),https://golferchen.github.io/human-study-usenix/clean/text=9/zhezhao/zhezhao-9-1.wav,https://golferchen.github.io/human-study-usenix/white-box/text=9/zhezhao/tanhuiyu-9-4.wav,Different - The two audio samples are uttered by two different persons,x,
34YWR3PJ3BI9BIK9AMD3BI6LZXV0XX,3J6XXRWLEOZFP55RL5RN5S07NQ6PFP,Do the two audio samples belong to the same person?,Listen the audio pairs and tell whether they are uttered by the same person?,"audio, voice, speaker, utterence,person",$0.01,Sat Oct 08 03:12:05 PDT 2022,10,BatchId:4895177;OriginalHitTemplateId:928390811;,600,432000,Mon Nov 07 02:12:05 PST 2022,,,3YDTZAI2W1OL7PFBCWK0HWOQPL941S,A2581E5RJOJI,Submitted,Sat Oct 08 03:13:08 PDT 2022,Sat Oct 08 03:15:31 PDT 2022,Thu Oct 13 03:15:31 PDT 2022,,,,143,0% (0/0),0% (0/0),0% (0/0),https://golferchen.github.io/human-study-usenix/clean/text=9/zhezhao/zhezhao-9-1.wav,https://golferchen.github.io/human-study-usenix/white-box/text=9/zhezhao/tanhuiyu-9-4.wav,Not Sure - I am not sure,x,
34YWR3PJ3BI9BIK9AMD3BI6LZXV0XX,3J6XXRWLEOZFP55RL5RN5S07NQ6PFP,Do the two audio samples belong to the same person?,Listen the audio pairs and tell whether they are uttered by the same person?,"audio, voice, speaker, utterence,person",$0.01,Sat Oct 08 03:12:05 PDT 2022,10,BatchId:4895177;OriginalHitTemplateId:928390811;,600,432000,Mon Nov 07 02:12:05 PST 2022,,,3QUO65DNQYW5KFGRX49T6WZSH96UOR,A2WZ22WG3UEH87,Submitted,Sat Oct 08 03:13:09 PDT 2022,Sat Oct 08 03:15:55 PDT 2022,Thu Oct 13 03:15:55 PDT 2022,,,,166,0% (0/0),0% (0/0),0% (0/0),https://golferchen.github.io/human-study-usenix/clean/text=9/zhezhao/zhezhao-9-1.wav,https://golferchen.github.io/human-study-usenix/white-box/text=9/zhezhao/tanhuiyu-9-4.wav,Different - The two audio samples are uttered by two different persons,x,
